post_id,post_text,category,react_likes,react_love,react_haha,react_sad,react_wow,react_angry,number of comments,positive sent,negative sent,neutral sent,anger,fear,sad,happy,neutral,avg words in comments,median words in comments
25604775729_10156804354240730,Die Mädchen waren noch keine 18  sollen vergewaltigt und verkauft worden sein.,Straftat,66,0,5,20,9,234,76,30.263157894736842,40.78947368421053,28.94736842105263,26.31578947368421,2.6315789473684212,3.9473684210526314,19.736842105263158,47.36842105263158,17.842105263157894,11.0
25604775729_10156804461100730,Es ist eine ziemlich ungewöhnliche Geschichte  die am Ende auch der Pleite von Air Berlin ist.,Alltag&Skurriles,108,0,60,0,9,4,45,17.77777777777778,26.666666666666668,55.55555555555556,17.77777777777778,2.2222222222222223,4.444444444444445,37.77777777777778,37.77777777777778,12.377777777777778,8.0
25604775729_10156804464900730,Na dann  Prost! 🍾🍻,Alltag&Skurriles,662,14,55,0,36,8,105,19.047619047619047,25.714285714285715,55.23809523809524,8.571428571428571,4.761904761904762,4.761904761904762,32.38095238095238,49.523809523809526,6.828571428571428,6.0
25604775729_10156804476365730,Das Problem: Der Schiedsrichter fühlte sich verarscht. Dabei wollte der Spieler das gar nicht. Sein Name war Schuld! 😂,Alltag&Skurriles,238,2,263,7,2,1,78,14.102564102564102,17.94871794871795,67.94871794871794,2.5641025641025643,3.8461538461538463,1.2820512820512822,43.58974358974359,48.717948717948715,6.743589743589744,4.5
25604775729_10156804525365730,Der Mann hatte weder Wohnungsschlüssel  noch Geld  Papiere oder Handy bei sich.,Straftat,160,0,1,318,35,4,100,21.0,45.0,34.0,6.0,8.0,31.0,18.0,37.0,20.72,11.0
25604775729_10156804566775730,Beim großen Finale vom „Bachelor“ stellte sich Daniel Völz seinen Verflossenen. Und verriet  wie es um ihn und seine Kristina steht.,Alltag&Skurriles,216,11,45,1,1,4,56,30.357142857142858,42.857142857142854,26.785714285714285,19.642857142857142,3.5714285714285716,8.928571428571429,39.285714285714285,28.571428571428573,11.285714285714286,9.5
25604775729_10156804681305730,Dass die Berichte der Nutzer kein Quatsch sind  beweist sogar ein Video. 😱😱 digital multimedia amazon echo amazon echo faengt nachts an zu lachen,Alltag&Skurriles,1550,7,2212,7,313,15,6058,17.7946517002311,19.01617695609112,63.189171343677785,4.110267414988445,10.812149224166392,2.641135688345989,43.44668207329151,38.98976559920766,7.028227137669198,5.0
25604775729_10156805754770730,Ratsch – schon ist die Bluse beim Anprobieren in der Umkleidekabine gerissen. Und nun?,Alltag&Skurriles,55,0,18,0,3,0,68,33.8235294117647,41.1764705882353,25.0,20.58823529411765,5.882352941176471,4.411764705882353,29.41176470588235,39.705882352941174,16.38235294117647,11.0
25604775729_10156805770755730,Vor 30 Jahren schockte das Geiseldrama von Gladbeck das ganze Land.,Alltag&Skurriles,93,0,4,14,1,98,259,33.59073359073359,43.24324324324324,23.166023166023166,22.00772200772201,16.216216216216218,21.62162162162162,15.057915057915057,25.096525096525095,21.64864864864865,14.0
25604775729_10156805791590730,Diese 10 Wahrheiten trauen sich viele Politiker nicht zu sagen – oder sollten sie vielleicht einfach mal nachlesen.,Gesellschaft/Ethik/Politik,1127,49,27,2,8,5,251,27.09163346613546,37.84860557768924,35.059760956175296,25.099601593625497,3.9840637450199203,2.7888446215139444,17.529880478087648,50.59760956175299,26.54980079681275,17.0
25604775729_10156805908645730,Als die Richter seine dämliche Ausrede hörten  legten sie gleich noch ein paar Monate obendrauf. regional sachsen anhalt nationalsozialismus hafstrafe fuer hitlegruss beim karnevalsumzug,Straftat,1167,21,532,18,30,240,1580,25.50632911392405,42.59493670886076,31.89873417721519,30.949367088607595,10.949367088607595,7.341772151898734,14.30379746835443,36.45569620253165,24.09620253164557,16.0
25604775729_10156805927775730,Jetzt sind auch noch die Kleingärtner sauer. Denn für das Konzert mit Ed Sheeran sollen viele Bäume gefällt werden.,Alltag&Skurriles,122,0,62,7,1,51,193,20.207253886010363,48.18652849740933,31.60621761658031,22.27979274611399,17.616580310880828,6.217616580310881,12.953367875647668,40.932642487046635,18.616580310880828,13.0
25604775729_10156805967130730,Sigmar Gabriel hat heute erst erfahren  dass er raus ist!,Alltag&Skurriles,599,24,525,119,24,38,535,34.953271028037385,33.64485981308411,31.401869158878505,22.80373831775701,5.233644859813084,11.02803738317757,25.046728971962615,35.88785046728972,15.824299065420561,11.0
25604775729_10156806063250730,David stach auf seine Eltern ein – allein über 30 Mal auf seinen Vater Marek. Dessen Verletzungen waren so schwer  dass er noch im Rettungswagen starb.,Straftat,294,1,2,490,55,845,327,16.513761467889907,46.788990825688074,36.69724770642202,25.07645259938838,7.339449541284404,17.125382262996943,9.174311926605505,41.28440366972477,16.192660550458715,9.0
25604775729_10156806091525730,Sie ist 21 Jahre alt  muss 30 Bus-Routen im Schlaf auswendig können – und wollte ursprünglich einen ganz anderen Beruf lernen!,Alltag&Skurriles,751,22,7,0,34,0,134,41.791044776119406,20.149253731343283,38.059701492537314,13.432835820895523,2.2388059701492535,2.2388059701492535,41.04477611940298,41.04477611940298,12.597014925373134,9.0
25604775729_10156806108650730,Nach einer durchzechten Sex-Nacht wacht der Mann auf. Neben ihm liegt seine tote Frau – und eine blutverschmierte  40 Zentimeter lange Mörser-Granate!,Gesellschaft/Ethik/Politik,219,0,115,30,81,16,250,18.0,30.8,51.2,10.4,4.8,2.0,36.4,46.4,9.24,7.0
25604775729_10156806191130730,Sigmar Gabriel abserviert! Geht die Amokfahrt der SPD weiter?,Gesellschaft/Ethik/Politik,76,1,84,8,8,26,119,36.97478991596638,30.252100840336134,32.773109243697476,26.89075630252101,5.882352941176471,5.882352941176471,21.008403361344538,40.33613445378151,21.134453781512605,14.0
25604775729_10156806269410730,Der Anwohner hatte schon länger das Gefühl  dass Dinge von seiner Terrasse verschwinden. Also installierte er eine Kamera …,Alltag&Skurriles,240,4,274,7,44,253,295,20.338983050847457,27.796610169491526,51.86440677966102,9.491525423728813,5.084745762711864,7.11864406779661,33.220338983050844,45.08474576271186,12.627118644067796,8.0
25604775729_10156806302955730,Eine fünfköpfige Familie wurde bei dem tragischen Unfall ausgelöscht. Das Müllauto sei zu schnell in eine Kreuzung gefahren  wobei es auf ein voll besetztes Auto kippte.,Straftat,37,0,0,89,4,26,17,11.764705882352942,58.8235294117647,29.41176470588235,11.764705882352942,17.647058823529413,17.647058823529413,0.0,52.94117647058823,20.88235294117647,16.0
25604775729_10156806306345730,Bei Schönheitschirurgen häufen sich die Anfragen von Patienten  die auf Selfies besser aussehen möchten. Das ist der Grund für die Riesen-Zinken!,Gesellschaft/Ethik/Politik,22,0,24,0,0,2,55,27.272727272727273,21.818181818181817,50.90909090909091,14.545454545454545,1.8181818181818181,7.2727272727272725,25.454545454545453,50.90909090909091,9.472727272727273,8.0
25604775729_10156806314545730,Danke für alles! ❤️❤️❤️,Alltag&Skurriles,326,48,1,2,0,0,60,31.666666666666668,20.0,48.333333333333336,6.666666666666667,5.0,13.333333333333334,36.666666666666664,38.333333333333336,13.316666666666666,8.0
25604775729_10156806527005730,Gianluigi Buffon sagte: „Vor allem Dein kleines Mädchen verdient es  zu wissen  dass ihr Vater in jeder Hinsicht eine PERFEKTE PERSON war … EINE GROSSARTIGE PERFEKTE PERSON ...“,Straftat,1416,121,1,1101,6,3,71,21.12676056338028,18.309859154929576,60.563380281690144,7.042253521126761,2.816901408450704,42.25352112676056,9.859154929577464,38.028169014084504,8.084507042253522,5.0
25604775729_10156806586725730,Der Bachelor Daniel Völz (33) hat seine letzte Rose an Kristina (24) verschenkt. Mal sehen  wie lange ihr Liebesglück hält. So sah es bei seinen Vorgängern aus.,Alltag&Skurriles,341,1,76,0,0,4,157,26.11464968152866,32.48407643312102,41.40127388535032,14.012738853503185,7.643312101910828,5.732484076433121,37.5796178343949,35.031847133757964,9.89171974522293,8.0
25604775729_10156806594390730,Was aussieht wie der Dreh zu einem Gruselfilm  ist tatsächlich ein Kindergeburtstag! Für die Aktion kassierte die Mutter mächtig Gegenwind.,Alltag&Skurriles,673,52,278,35,76,693,468,30.555555555555557,32.05128205128205,37.39316239316239,21.367521367521366,7.051282051282051,5.769230769230769,40.81196581196581,25.0,13.258547008547009,9.0
25604775729_10156806655345730,Ein kleiner Junge saß unter dem Lehrerpult  während die anderen Kinder auf ihren Plätzen Buchstabieren und Zählen lernen konnten.,Straftat,31,2,9,2,3,24,28,35.714285714285715,39.285714285714285,25.0,39.285714285714285,10.714285714285714,10.714285714285714,10.714285714285714,28.571428571428573,38.57142857142857,19.5
25604775729_10156806761020730,Sie flucht. Sie flennt. Sie knallt die Türen und versteckt sich auf dem Dixie-Klo. Doch wird man so auch Germany s next Topmodel? unterhaltung tv germanys next topmodel drama queen bruna im interview,Alltag&Skurriles,20,1,10,0,0,1,25,40.0,20.0,40.0,20.0,0.0,4.0,24.0,52.0,10.6,9.0
25604775729_10156807086840730,Sie sollten sich in Deutschland prostituieren.,Gesellschaft/Ethik/Politik,44,0,24,1,4,8,54,33.333333333333336,27.77777777777778,38.888888888888886,20.37037037037037,5.555555555555555,5.555555555555555,20.37037037037037,48.148148148148145,9.481481481481481,8.0
25604775729_10156807124775730,Ihr neues Instagram-Video hat 1 5 Millionen Aufrufe – obwohl dort gar nichts passiert. 🤔,Alltag&Skurriles,146,5,4,0,7,0,34,11.764705882352942,35.294117647058826,52.94117647058823,20.58823529411765,5.882352941176471,5.882352941176471,20.58823529411765,47.05882352941177,8.294117647058824,7.0
25604775729_10156807247710730,Die Mutter fand ihre schwerverletzte  14-jährige Tochter  die kurz darauf starb. Die Polizei vermutet ein Gewaltverbrechen.,Straftat,50,1,0,179,3,89,107,25.233644859813083,44.85981308411215,29.906542056074766,25.233644859813083,10.280373831775702,24.299065420560748,8.411214953271028,31.77570093457944,16.981308411214954,12.0
25604775729_10156807271910730,Der Kassenautomat im Bürgerbüro Süd in Magdeburg ist ein wenig unübersichtlich. Das könnte einen 73-Jährigen jetzt den Führerschein kosten.,Alltag&Skurriles,46,1,6,2,10,90,100,24.0,48.0,28.0,34.0,8.0,9.0,16.0,33.0,24.06,16.5
